[2025-06-24T09:08:11.339Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 131, total-tokens, 1473, cost-ms, 12438, requestId, 
[2025-06-24T09:08:37.665Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 131, total-tokens, 1473, cost-ms, 8686, requestId, 
[2025-06-24T09:09:00.879Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 131, total-tokens, 1473, cost-ms, 6778, requestId, 
[2025-06-24T09:09:22.121Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1040, completion-tokens, 120, total-tokens, 1160, cost-ms, 5503, requestId, 
[2025-06-24T09:09:50.804Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1040, completion-tokens, 124, total-tokens, 1164, cost-ms, 12894, requestId, 
[2025-06-24T09:10:13.218Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 124, total-tokens, 1466, cost-ms, 5536, requestId, 
[2025-06-24T09:10:42.136Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 131, total-tokens, 1473, cost-ms, 12471, requestId, 
[2025-06-24T09:11:14.994Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1040, completion-tokens, 124, total-tokens, 1164, cost-ms, 17309, requestId, 
[2025-06-24T09:11:38.369Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 131, total-tokens, 1473, cost-ms, 7813, requestId, 
[2025-06-24T09:11:59.583Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1040, completion-tokens, 126, total-tokens, 1166, cost-ms, 5520, requestId, 
[2025-06-24T09:12:20.492Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1341, completion-tokens, 108, total-tokens, 1449, cost-ms, 4661, requestId, 
[2025-06-24T09:12:39.412Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 110, total-tokens, 1452, cost-ms, 4422, requestId, 
[2025-06-24T09:12:56.051Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1341, completion-tokens, 108, total-tokens, 1449, cost-ms, 4544, requestId, 
[2025-06-24T09:13:21.906Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1343, completion-tokens, 95, total-tokens, 1438, cost-ms, 13980, requestId, 
[2025-06-24T09:13:38.339Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1341, completion-tokens, 120, total-tokens, 1461, cost-ms, 4805, requestId, 
[2025-06-24T09:14:06.261Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1040, completion-tokens, 108, total-tokens, 1148, cost-ms, 12917, requestId, 
[2025-06-24T09:14:35.807Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1339, completion-tokens, 130, total-tokens, 1469, cost-ms, 14610, requestId, 
[2025-06-24T09:15:09.554Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 131, total-tokens, 1473, cost-ms, 16107, requestId, 
[2025-06-24T09:15:32.090Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 129, total-tokens, 1471, cost-ms, 5664, requestId, 
[2025-06-24T09:15:59.782Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1040, completion-tokens, 126, total-tokens, 1166, cost-ms, 10248, requestId, 
[2025-06-24T09:16:21.656Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 131, total-tokens, 1473, cost-ms, 4472, requestId, 
[2025-06-24T09:16:48.599Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 131, total-tokens, 1473, cost-ms, 10516, requestId, 
[2025-06-24T09:17:19.494Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1040, completion-tokens, 124, total-tokens, 1164, cost-ms, 15184, requestId, 
[2025-06-24T09:17:41.192Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 130, total-tokens, 1472, cost-ms, 5555, requestId, 
[2025-06-24T09:18:03.575Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 131, total-tokens, 1473, cost-ms, 6365, requestId, 
[2025-06-24T09:18:28.925Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 131, total-tokens, 1473, cost-ms, 9445, requestId, 
[2025-06-24T09:18:52.804Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 131, total-tokens, 1473, cost-ms, 8049, requestId, 
[2025-06-24T09:19:15.907Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1040, completion-tokens, 120, total-tokens, 1160, cost-ms, 6913, requestId, 
[2025-06-24T09:19:38.163Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 131, total-tokens, 1473, cost-ms, 5909, requestId, 
[2025-06-24T09:20:01.644Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 129, total-tokens, 1471, cost-ms, 7596, requestId, 
[2025-06-24T09:20:26.417Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 129, total-tokens, 1471, cost-ms, 8657, requestId, 
[2025-06-24T09:20:46.832Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 131, total-tokens, 1473, cost-ms, 4763, requestId, 
[2025-06-24T09:21:10.399Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 131, total-tokens, 1473, cost-ms, 7939, requestId, 
[2025-06-24T09:21:36.893Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1039, completion-tokens, 105, total-tokens, 1144, cost-ms, 11023, requestId, 
